RecievedDate,LossDescription,LossLocation,LloydsClaimReference
2019-08-30 01:30:10.920,EQUIPMENT APPEARS TO HAVE BEEN DAMAGED DURING TRAN,"BRAZIL, RIO",08076692Q
2019-04-02 01:40:46.560,EAST MOPU LEG SLEEVE SHOWS SIGNS OF ABRASION WHICH,REPSOL YME CAISSON INSTALLATION - CAMPAIGN 15,07825308M
2018-12-16 01:21:52.357,MOTOR VEHICLE ACCIDENT,TBA,07242816B
2019-10-09 01:14:08.747,PIPELINE SPLIT CAUSING RELEASE OF 300 TO 1200 BBLS,MONTANA,06520336J
2018-03-04 01:29:58.217,LIGHTNING STRIKE AND FIRE TO INSURED S GLOBALCREEK,"USA WEBB COUNTY, TEXAS",06107516N
2017-11-20 01:11:07.283,8 METERS CONDENSATE EXPORT PIPELINE HAS BEENDRAGGE,PAILIN,06329074T
2019-10-02 01:24:46.100,P1 UMBILICAL / PULL-IN WINCH AND WIRE,TBA,07104376J
2017-09-23 16:28:32.213,PIPELINE RUPTURED CAUSING RELEASE OF APPROX1225BBL,MONTANA,06041902B
2018-04-10 01:15:36.223,PIPELINE RUPTURED CAUSING RELEASE OF APPROX1225BBL,MONTANA,06041902B
2019-10-02 01:25:01.383,GEARBOX BROKEN FROM THE SHAFT ON STORAGE DRUM,FPSO LIBRA,07195234C
2018-04-24 01:12:20.167,K334 RUPTURED,"ETZEL, GERMANY",06388172A
